ticker,article_date,article_count,unique_source_count,total_word_count,tone_weighted,tone_positive_weighted,tone_negative_weighted,tone_polarity_weighted,tone_avg,tone_stddev,tone_min,tone_max,positive_article_count,negative_article_count,neutral_article_count,avg_activity_density
AAPL,2025-03-09,128,60,90476.0,-0.56894174376892637,2.9092552955684154,3.4781970393373411,6.3874523349057579,-1.1107993409776309,3.3116865919536504,-13.2075471698113,5.98290598290598,35,58,35,21.291056786304686
AAPL,2025-03-10,187,119,125326.0,-0.36816619928520911,3.1564552015525043,3.5246214008377126,6.6810766023902159,-0.42617078781944495,3.48662575043391,-10.6824925816024,7.14285714285714,69,76,42,22.584451700603967
AAPL,2025-03-11,206,123,134315.0,-0.25386804567947874,2.9773408713465437,3.2312089170260228,6.208549788372566,-0.36940483045736144,3.3651888134208532,-9.26916221033868,7.50577367205543,79,83,44,22.374073063387325
AAPL,2025-03-12,217,122,129900.0,-1.139989720081281,2.6353222046700022,3.7753119247512821,6.4106341294212834,-1.5020812381286719,3.5798159188666259,-16.8711656441718,5.81717451523546,62,110,45,22.191626495665879
AAPL,2025-03-13,207,110,133533.0,-0.087392801291380273,2.9481106974342071,3.0355034987255873,5.9836141961597944,-0.28948627116683756,3.894372260029944,-10.8433734939759,13.3333333333333,68,90,49,22.821576736305275
AAPL,2025-03-14,196,123,129370.0,0.11489056580137098,3.1383607423351134,3.0234701765337415,6.1618309188688567,-0.27100391756989972,3.0950066590915841,-10.8974358974359,7.8125,63,72,61,22.851211048276149
AAPL,2025-03-15,115,68,69083.0,-1.2090861430848263,2.5395484405015285,3.7486345835863548,6.2881830240878829,-1.1172096660917639,3.689386916868806,-14.5833333333333,12.3809523809524,26,57,32,22.898060001643188
AAPL,2025-03-16,123,63,70537.0,-0.94717361422693858,2.6054371417301563,3.5526107559570952,6.1580478976872515,-1.4385520364733277,3.4579643609177051,-7.76014109347443,7.86637931034483,27,61,35,21.3870443973202
AAPL,2025-03-17,189,105,122024.0,-0.26544627732448944,2.9189259793854574,3.1843722567099464,6.1032982360954042,-0.5440516169908,3.4844555381799895,-9.54773869346734,8.41121495327103,60,82,47,21.585397244338338
AAPL,2025-03-18,196,116,129250.0,-0.11785048759733917,3.0893482629964732,3.207198750593812,6.2965470135902857,-0.70564756094180681,2.9983491004250356,-8.22784810126582,11.6236162361624,48,85,63,21.86633574505321
AAPL,2025-03-19,190,105,141619.0,-0.3777653017401475,2.9888020788158354,3.3665673805559821,6.3553694593718193,-0.85734094563931074,3.459993297515755,-15.8730158730159,10.1694915254237,55,90,45,22.181036037402567
AAPL,2025-03-20,233,122,124592.0,-0.018978719044451753,3.3536866135992707,3.3726653326437228,6.7263519462429926,-0.23352300183123223,3.9464988990749084,-13.4831460674157,9.05660377358491,82,96,55,22.364930150220118
AAPL,2025-03-21,302,191,157808.0,-0.15572323992202125,2.6781371705030774,2.833860410425098,5.5119975809281749,-0.57618795680215151,2.9852954077560128,-14.6341463414634,11.1413043478261,72,89,141,19.750837586473423
AAPL,2025-03-22,255,193,85752.0,-0.71689312997832666,2.1184305515719215,2.8353236815502463,4.9537542331221651,-0.84940297254715169,2.9041842952539971,-14.3835616438356,9.3681917211329,32,63,160,17.770067596579512
AAPL,2025-03-23,173,105,88817.0,-0.28458984133832149,2.6939435061220327,2.9785333474603535,5.6724768535823857,-0.36385189834052778,3.3820023213383505,-9.89010989010989,9.69899665551839,60,58,55,20.685103985147197
AAPL,2025-03-24,229,122,131316.0,0.604864652690426,3.3396866443647908,2.7348219916743641,6.0745086360391554,0.27712183905078491,3.4982511042345705,-14.3835616438356,10.0511073253833,98,66,65,22.4237993251012
AAPL,2025-03-25,247,137,177107.0,1.0291896017192077,3.4556995590101236,2.4265099572909157,5.8822095163010379,0.51503188742188633,3.0933273869467528,-8.64864864864865,10.3825136612022,105,68,74,22.97062894956732
AAPL,2025-03-26,247,133,156874.0,0.940532083369053,3.5605748211050696,2.6200427377360156,6.1806175588410861,0.90006095050251667,3.2696883371814871,-7.40740740740741,10.1895734597156,124,64,59,22.481818204673345
AAPL,2025-03-27,208,113,116233.0,0.14317381727104087,3.1523766958592585,3.0092028785882179,6.1615795744474759,-0.19679908948227387,3.4558221967542773,-10.7344632768362,8.60927152317881,78,77,53,21.984303553206711
AAPL,2025-03-28,286,201,185185.0,0.56401565655909014,3.071371958449987,2.5073563018908973,5.5787282603408848,0.31573855213057334,2.8655248783774,-10.7142857142857,10.4622871046229,84,59,143,21.233783626213615
AAPL,2025-03-29,91,59,50856.0,-0.48763603317013127,2.7771622673447021,3.264798300514832,6.0419605678595341,-0.8549400450879775,3.5293457054476929,-10.2040816326531,9.86842105263158,27,39,25,21.958252466839578
