date,ticker,open,high,low,close,volume,daily_return,realized_vol5,article_count,unique_source_count,tone_weighted,tone_positive_weighted,tone_negative_weighted,tone_polarity_weighted,tone_avg,tone_stddev,positive_article_count,negative_article_count,neutral_article_count,avg_activity_density,tone_lag1,tone_lag2,tone_lag3,articles_lag1,articles_lag2,articles_lag3,polarity_lag1,polarity_lag2,polarity_lag3,tone_rolling5,tone_momentum,tone_vol5,earnings_week,direction_t1,direction_t2,direction_t3,return_t1
2025-09-24,MSFT,508.266442508536,510.35772177145367,504.82077941210207,508.0373840332031,13533700,0.0018065456770510746,0.011274134054256703,1305.0,729.0,0.1232328778230695,3.1296108979589055,3.006378020135835,6.13598891809474,0.2271841557373518,2.836772400261338,461.0,386.0,458.0,22.854636407832665,0.7321044295389931,0.4906823923815588,0.636882448558798,1464.0,1025.0,964.0,5.745169541285898,6.298441439825146,6.292711886539253,0.5185247460144995,-0.6088715517159237,0.23715635535017449,0,0.0,1.0,1.0,-0.006115801241625629
2025-09-25,MSFT,506.1950582100621,507.89799878212006,502.94857891661616,504.9303283691406,15786500,-0.006115801241625585,0.011566361588557773,1240.0,628.0,0.4940981576722252,3.079963783188499,2.585865625516275,5.665829408704778,0.6513180078778336,2.7796613439872395,605.0,338.0,297.0,22.470627154787724,0.1232328778230695,0.7321044295389931,0.4906823923815588,1305.0,1464.0,1025.0,6.13598891809474,5.745169541285898,6.298441439825146,0.4954000611949289,0.3708652798491557,0.23161314063439045,0,1.0,1.0,1.0,0.008737088754400955
2025-09-26,MSFT,507.9477531769938,511.8116903059077,504.52199636524745,509.3419494628906,16213100,0.008737088754400935,0.0076512287707468565,1300.0,811.0,0.9903284148780764,3.781578051835048,2.7912496369569753,6.572827688792025,0.845637176813401,3.4644173793103676,581.0,433.0,286.0,22.714616236352313,0.4940981576722252,0.1232328778230695,0.7321044295389931,1240.0,1305.0,1464.0,5.665829408704778,6.13598891809474,5.745169541285898,0.5660892544587847,0.49623025720585123,0.3219202489677997,0,1.0,1.0,1.0,0.006139261935671271
2025-09-29,MSFT,509.3817950243417,514.7096154882738,506.77264973451184,512.4689331054688,17617800,0.00613926193567127,0.00802520566750416,858.0,526.0,0.730096205468194,3.433435814463385,2.703339608995191,6.136775423458574,0.9139211638607796,2.7606809974748163,409.0,195.0,254.0,22.67239472826016,0.9903284148780764,0.4940981576722252,0.1232328778230695,1300.0,1240.0,1305.0,6.572827688792025,5.665829408704778,6.13598891809474,0.6139720170761117,-0.26023220940988245,0.3256834648603199,0,1.0,1.0,1.0,0.006510017339799204
2025-09-30,MSFT,511.11459757878936,516.0142062084105,507.54943619028296,515.8051147460938,19728200,0.006510017339799168,0.005889581072992559,1034.0,567.0,0.7514701803663782,3.4877763872707384,2.7363062069043607,6.224082594175097,0.5932778854444477,3.1852446419774822,479.0,278.0,277.0,22.877917472887635,0.730096205468194,0.9903284148780764,0.4940981576722252,858.0,1300.0,1240.0,6.136775423458574,6.572827688792025,5.665829408704778,0.6178451672415888,0.021373974898184267,0.3275493660147153,0,1.0,0.0,0.0,0.003397960773882135
2025-10-01,MSFT,512.6680995330014,518.3544751787417,509.5709932440202,517.5578002929688,22632300,0.0033979607738821027,0.005823529015164946,1092.0,582.0,0.9489030849410484,3.639609168120387,2.6907060831793403,6.330315251299728,1.1606415743497065,2.9179314590275856,567.0,189.0,336.0,22.896640896248226,0.7514701803663782,0.730096205468194,0.9903284148780764,1034.0,858.0,1300.0,6.224082594175097,6.136775423458574,6.572827688792025,0.7829792086651846,0.1974329045746701,0.1985989165062279,0,0.0,0.0,1.0,-0.007638979219349062
2025-10-02,MSFT,515.4963429681408,519.4399047558908,508.56514411884206,513.6041870117188,21222900,-0.007638979219349085,0.006471381638447633,1107.0,661.0,0.244853145720248,3.244125233780508,2.9992720880602626,6.243397321840773,0.4471982612532067,2.7648841237724184,475.0,297.0,335.0,22.881717195926157,0.9489030849410484,0.7514701803663782,0.730096205468194,1092.0,1034.0,858.0,6.330315251299728,6.224082594175097,6.136775423458574,0.7331302062747891,-0.7040499392208004,0.2964240633581491,0,1.0,1.0,1.0,0.003121727898792747
2025-10-03,MSFT,514.9585548343116,518.3345307125708,512.8672756929882,515.20751953125,15112300,0.0031217278987927255,0.0057690567008529215,877.0,532.0,0.5286235931396811,3.481966881714732,2.9533432885750517,6.435310170289782,0.7908313030488499,2.709764412234341,424.0,209.0,244.0,22.723749312183713,0.244853145720248,0.9489030849410484,0.7514701803663782,1107.0,1092.0,1034.0,6.243397321840773,6.330315251299728,6.224082594175097,0.64078924192711,0.28377044741943314,0.2666958329140991,0,1.0,1.0,1.0,0.021687659042122172
2025-10-06,MSFT,516.4623876768178,528.8309994124726,516.0541122577388,526.3811645507812,21388600,0.02168765904212222,0.01055618788450545,723.0,431.0,0.5042135380964341,3.401929506736999,2.897715968640564,6.299645475377563,0.4216502939553054,2.852024021083294,320.0,206.0,197.0,22.85301269799083,0.5286235931396811,0.244853145720248,0.9489030849410484,877.0,1107.0,1092.0,6.435310170289782,6.243397321840773,6.330315251299728,0.5956127084527579,-0.024410055043247003,0.2669172448677213,0,0.0,0.0,0.0,-0.008683906700529403
2025-10-07,MSFT,526.1022689962125,527.6060256392368,519.2806599401652,521.8101196289062,14615200,-0.008683906700529431,0.012218449470866376,784.0,437.0,0.5639011882375596,3.485733593393742,2.9218324051561813,6.407565998549922,0.551442101733441,2.9348117782701757,334.0,197.0,253.0,22.85044707459006,0.5042135380964341,0.5286235931396811,0.244853145720248,723.0,877.0,1107.0,6.299645475377563,6.435310170289782,6.243397321840773,0.5580989100269942,0.05968765014112554,0.2523177094619551,0,1.0,0.0,0.0,0.0016603626690584311
